"Time","load5"
2023-04-03 17:24:20,0.18
2023-04-03 17:24:40,0.17
2023-04-03 17:25:00,0.16
2023-04-03 17:25:20,0.1707258
2023-04-03 17:25:40,0.17
2023-04-03 17:26:00,0.16
2023-04-03 17:26:20,0.15
2023-04-03 17:26:40,0.13
2023-04-03 17:27:00,0.1321599
2023-04-03 17:27:20,0.18
2023-04-03 17:27:40,0.17
2023-04-03 17:28:00,0.17
2023-04-03 17:28:20,0.19
2023-04-03 17:28:40,0.2
2023-04-03 17:29:00,0.2
2023-04-03 17:29:20,0.22
2023-04-03 17:29:40,0.2
2023-04-03 17:30:00,0.21
2023-04-03 17:30:20,0.19
2023-04-03 17:30:40,0.18
2023-04-03 17:31:00,0.17
2023-04-03 17:31:20,0.15
2023-04-03 17:31:40,0.1492788
2023-04-03 17:32:00,0.17
2023-04-03 17:32:20,0.19
2023-04-03 17:32:40,0.22
2023-04-03 17:33:00,0.21
2023-04-03 17:33:20,0.2
2023-04-03 17:33:40,0.2
2023-04-03 17:34:00,0.2
2023-04-03 17:34:20,0.19
2023-04-03 17:34:40,0.17
2023-04-03 17:35:00,0.16
2023-04-03 17:35:20,0.2
2023-04-03 17:35:40,0.22
2023-04-03 17:36:00,0.22
2023-04-03 17:36:20,0.21
2023-04-03 17:36:40,0.26
2023-04-03 17:37:00,0.24
2023-04-03 17:37:20,0.22
2023-04-03 17:37:40,0.22
2023-04-03 17:38:00,0.21
2023-04-03 17:38:20,0.19
2023-04-03 17:38:40,0.18
2023-04-03 17:39:00,0.19
2023-04-03 17:39:20,0.26
2023-04-03 17:39:40,0.5592863
2023-04-03 17:40:00,0.52
2023-04-03 17:40:20,0.52
2023-04-03 17:40:40,0.49
2023-04-03 17:41:00,0.47
2023-04-03 17:41:20,0.4389394
2023-04-03 17:41:40,0.42
2023-04-03 17:42:00,0.4895383
2023-04-03 17:42:20,0.6
2023-04-03 17:42:40,0.6
2023-04-03 17:43:00,0.74
2023-04-03 17:43:20,0.93
2023-04-03 17:43:40,0.89
2023-04-03 17:44:00,0.81
2023-04-03 17:44:20,2.357115
2023-04-03 17:44:40,2.17
2023-04-03 17:45:00,2.02
2023-04-03 17:45:20,3.2
2023-04-03 17:45:40,3.02
2023-04-03 17:46:00,2.87
2023-04-03 17:46:20,4.38
2023-04-03 17:46:40,7.59
2023-04-03 17:47:00,6.98
2023-04-03 17:47:20,6.704257
2023-04-03 17:47:40,9.54
2023-04-03 17:48:00,9.14
2023-04-03 17:48:20,8.45
2023-04-03 17:48:40,12.68
2023-04-03 17:49:00,12.07
2023-04-03 17:49:20,11.1
2023-04-03 17:49:40,10.64
2023-04-03 17:50:00,13.11
2023-04-03 17:50:20,12.464286
2023-04-03 17:50:40,11.69
2023-04-03 17:51:00,17.7
2023-04-03 17:51:20,18.85
2023-04-03 17:51:40,17.35
2023-04-03 17:52:00,16.72
2023-04-03 17:52:20,20.85
2023-04-03 17:52:40,19.51
2023-04-03 17:53:00,18.49487
2023-04-03 17:53:20,20.41
2023-04-03 17:53:40,24.56
2023-04-03 17:54:00,23.39
2023-04-03 17:54:20,21.56
2023-04-03 17:54:40,26.74
2023-04-03 17:55:00,28.87
2023-04-03 17:55:20,26.55
2023-04-03 17:55:40,25.25
2023-04-03 17:56:00,24.61045
2023-04-03 17:56:20,22.68
2023-04-03 17:56:40,21.57
2023-04-03 17:57:00,20.77
2023-04-03 17:57:20,19.5
2023-04-03 17:57:40,18.54
2023-04-03 17:58:00,17.2
2023-04-03 17:58:20,17.7291
2023-04-03 17:58:40,16.65
2023-04-03 17:59:00,15.33
2023-04-03 17:59:20,15.564135
2023-04-03 17:59:40,14.44
2023-04-03 18:00:00,13.5
2023-04-03 18:00:20,12.94
2023-04-03 18:00:40,15.13
2023-04-03 18:01:00,14.16
2023-04-03 18:01:20,13.5
2023-04-03 18:01:40,13.92
2023-04-03 18:02:00,14.76
2023-04-03 18:02:20,14.07
2023-04-03 18:02:40,12.95
2023-04-03 18:03:00,16.71
2023-04-03 18:03:20,15.901229
2023-04-03 18:03:40,14.89
2023-04-03 18:04:00,13.76
2023-04-03 18:04:20,16.02
2023-04-03 18:04:40,15.3
2023-04-03 18:05:00,14.07
2023-04-03 18:05:20,13.38
2023-04-03 18:05:40,17.49046
2023-04-03 18:06:00,16.39
2023-04-03 18:06:20,15.37
2023-04-03 18:06:40,14.61
2023-04-03 18:07:00,18.88676
2023-04-03 18:07:20,17.39
2023-04-03 18:07:40,16.28
2023-04-03 18:08:00,15.51
2023-04-03 18:08:20,23.28
2023-04-03 18:08:40,21.83
2023-04-03 18:09:00,20.16
2023-04-03 18:09:20,19.26687
2023-04-03 18:09:40,24.93
2023-04-03 18:10:00,26.18
2023-04-03 18:10:20,24.45089
2023-04-03 18:10:40,22.99
2023-04-03 18:11:00,22.02
2023-04-03 18:11:20,20.97
2023-04-03 18:11:40,19.63
2023-04-03 18:12:00,19.40832
2023-04-03 18:12:20,18.22
2023-04-03 18:12:40,17.01974
2023-04-03 18:13:00,17.29
2023-04-03 18:13:20,16.49
2023-04-03 18:13:40,15.16
2023-04-03 18:14:00,14.37
2023-04-03 18:14:20,14.75
2023-04-03 18:14:40,13.61
2023-04-03 18:15:00,12.977056
2023-04-03 18:15:20,14.81
2023-04-03 18:15:40,13.842166
2023-04-03 18:16:00,12.77
2023-04-03 18:16:20,13.9
2023-04-03 18:16:40,13.02
2023-04-03 18:17:00,11.99
2023-04-03 18:17:20,13.5
2023-04-03 18:17:40,13.64
2023-04-03 18:18:00,12.56
2023-04-03 18:18:20,12.02
2023-04-03 18:18:40,14.99
2023-04-03 18:19:00,13.86
2023-04-03 18:19:20,13.18
2023-04-03 18:19:40,18.24
2023-04-03 18:20:00,17.35
2023-04-03 18:20:20,15.99
2023-04-03 18:20:40,15.2
2023-04-03 18:21:00,21.46
2023-04-03 18:21:20,19.78
2023-04-03 18:21:40,18.83
2023-04-03 18:22:00,17.64
2023-04-03 18:22:20,24.7284
2023-04-03 18:22:40,23.26
2023-04-03 18:23:00,21.72399
2023-04-03 18:23:20,20.41
2023-04-03 18:23:40,27.72
2023-04-03 18:24:00,25.96
2023-04-03 18:24:20,23.92
2023-04-03 18:24:40,23.79193
2023-04-03 18:25:00,22.3
2023-04-03 18:25:20,20.52
2023-04-03 18:25:40,19.58
2023-04-03 18:26:00,19.15
2023-04-03 18:26:20,17.88832
2023-04-03 18:26:40,16.47
2023-04-03 18:27:00,16.05
2023-04-03 18:27:20,15.01
2023-04-03 18:27:40,13.89
2023-04-03 18:28:00,13.27
2023-04-03 18:28:20,13.43
2023-04-03 18:28:40,12.77
2023-04-03 18:29:00,11.8
2023-04-03 18:29:20,13.14
2023-04-03 18:29:40,12.41
2023-04-03 18:30:00,11.62
2023-04-03 18:30:20,10.96
2023-04-03 18:30:40,13.39
2023-04-03 18:31:00,12.54
2023-04-03 18:31:20,11.72
2023-04-03 18:31:40,13.73
2023-04-03 18:32:00,14.5
2023-04-03 18:32:20,13.552165
2023-04-03 18:32:40,12.69
2023-04-03 18:33:00,16.52
2023-04-03 18:33:20,15.71
2023-04-03 18:33:40,14.69
2023-04-03 18:34:00,16.2
2023-04-03 18:34:20,18.47
2023-04-03 18:34:40,17.02
2023-04-03 18:35:00,16.2
2023-04-03 18:35:20,17.6
2023-04-03 18:35:40,21.56
2023-04-03 18:36:00,19.83
2023-04-03 18:36:20,18.85
2023-04-03 18:36:40,17.75
2023-04-03 18:37:00,25.67
2023-04-03 18:37:20,25.37653
2023-04-03 18:37:40,23.87
2023-04-03 18:38:00,22.37
2023-04-03 18:38:20,30.64
2023-04-03 18:38:40,28.67
2023-04-03 18:39:00,26.87
2023-04-03 18:39:20,25.23
2023-04-03 18:39:40,23.69
2023-04-03 18:40:00,22.52
2023-04-03 18:40:20,21.21
2023-04-03 18:40:40,21.08
2023-04-03 18:41:00,20.05
2023-04-03 18:41:20,18.77
2023-04-03 18:41:40,18.76
2023-04-03 18:42:00,17.58
2023-04-03 18:42:20,16.44
2023-04-03 18:42:40,15.53
2023-04-03 18:43:00,15.4
2023-04-03 18:43:20,14.66
2023-04-03 18:43:40,15.77
2023-04-03 18:44:00,16.129
2023-04-03 18:44:20,14.86
2023-04-03 18:44:40,14.13
2023-04-03 18:45:00,15.65
2023-04-03 18:45:20,14.88
2023-04-03 18:45:40,13.69
2023-04-03 18:46:00,14.17
2023-04-03 18:46:20,15.12
2023-04-03 18:46:40,14.38
2023-04-03 18:47:00,13.48
2023-04-03 18:47:20,16.7
2023-04-03 18:47:40,15.36
2023-04-03 18:48:00,14.6
2023-04-03 18:48:20,19.12
2023-04-03 18:48:40,19.81
2023-04-03 18:49:00,18.53
2023-04-03 18:49:20,17.31905
2023-04-03 18:49:40,19.22
2023-04-03 18:50:00,20.19
2023-04-03 18:50:20,18.93
2023-04-03 18:50:40,18.01
2023-04-03 18:51:00,23.65
2023-04-03 18:51:20,22.15
2023-04-03 18:51:40,20.95819
2023-04-03 18:52:00,19.5
2023-04-03 18:52:20,26.86
2023-04-03 18:52:40,25.14
2023-04-03 18:53:00,23.51
2023-04-03 18:53:20,22.05
